embedding_size,algorithm,n_clusters,noise_points,silhouette,calinski,davies,ari,nmi,homogeneity,completeness,v_measure,precision,recall,f1,total_points,noise_percentage,clustered_points,clustered_percentage
50,K-means++ (n=10),10,0,0.6154505329361524,1538503.4632444808,0.3065806232603135,0.1403298458229534,0.36693439561275193,0.2864585331652633,0.5102928725452293,0.36693439561275193,0.5705679228423459,0.41820650407339316,0.4826484380115329,683,0.0,683,100.0
50,K-means++ (n=15),15,0,0.5901846446419855,2201805.052789568,0.4472022911464124,0.1174723403035705,0.3663431769839266,0.30959005596941247,0.4485745118160751,0.36634317698392665,0.3936530075274794,0.27103559265969146,0.3210344698778833,683,0.0,683,100.0
50,K-means++ (n=20),20,0,0.5384393980331151,3311058.800507521,0.3878856655555182,0.1453843170680605,0.36828343625086424,0.3281150871177759,0.4196586931848214,0.36828343625086424,0.3546865066197488,0.23324584626640363,0.2814240583620933,683,0.0,683,100.0
50,K-means++ (n=25),25,0,0.5316332019785617,4372325.608327146,0.4303996134530363,0.11631878587894248,0.3755879198883146,0.35536847048995107,0.3982470370657539,0.3755879198883145,0.283568643681376,0.21472719121975303,0.24439256405897314,683,0.0,683,100.0
50,K-means++ (n=30),30,0,0.5067726358047621,4866398.115830765,0.5178154886859689,0.12405754195381417,0.39151059442045544,0.38862666893763265,0.39443764204274334,0.3915105944204554,0.2687101748346962,0.19588007164013332,0.22658662637208288,683,0.0,683,100.0
50,K-means++ (n=35),35,0,0.49169280346402927,5100939.3218079815,0.6102470784202457,0.12284203869533221,0.39738451991657886,0.4015811821346498,0.3932746636886216,0.3973845199165789,0.221419477757109,0.17598440319689815,0.19610465079360107,683,0.0,683,100.0
50,"Hierarchical (ward, n=10)",10,0,0.6306665406715641,1565673.669649422,0.3707707004655606,0.1510636584041971,0.3681066333179483,0.28533057579326004,0.5185373228686222,0.36810663331794835,0.5099995128222052,0.40502042311372727,0.45148790831483515,683,0.0,683,100.0
50,"Hierarchical (complete, n=10)",10,0,0.8100476994865373,742546.5071559534,0.20467260709806348,0.14958056942865303,0.39433169208470625,0.27005421837815735,0.730507030648571,0.39433169208470625,0.5696503565919886,0.392276303361209,0.4646099238026571,683,0.0,683,100.0
50,"Hierarchical (average, n=10)",10,0,0.8099239029353087,736481.1038474793,0.13577456038128113,0.1495209047625398,0.39277047119930925,0.2687237464109637,0.7295336281914252,0.39277047119930925,0.6185634000702495,0.39021710130200693,0.4785461586907803,683,0.0,683,100.0
50,"Hierarchical (single, n=10)",10,0,0.8099239029353087,736481.1038474793,0.13577456038128113,0.1495209047625398,0.39277047119930925,0.2687237464109637,0.7295336281914252,0.39277047119930925,0.6185634000702495,0.39021710130200693,0.4785461586907803,683,0.0,683,100.0
50,"Hierarchical (ward, n=15)",15,0,0.5976363232729819,2134191.9038961697,0.4355789669857713,0.11905220401580982,0.3728803149010036,0.3133283795093119,0.4603815189588804,0.3728803149010037,0.3743528315778931,0.2764450206707455,0.31803416654228595,683,0.0,683,100.0
50,"Hierarchical (complete, n=15)",15,0,0.6248161243837755,1273039.380900568,0.27255085537010515,0.17838436425030618,0.3883955638365812,0.29627460447510856,0.5636526450042988,0.38839556383658114,0.4697624684531231,0.2651646478777941,0.3389843612124603,683,0.0,683,100.0
50,"Hierarchical (average, n=15)",15,0,0.6283813370675755,1182950.0735796485,0.23572142194514326,0.18041960760581782,0.38989501465705023,0.2953011803120418,0.5736534329187892,0.38989501465705023,0.5449947539599184,0.2626260301945223,0.35444805660663425,683,0.0,683,100.0
50,"Hierarchical (single, n=15)",15,0,0.8061623634905346,537534.7850007974,0.1812945009842154,0.14741929637119477,0.4004157411421231,0.27821446298849173,0.7140515111713979,0.400415741142123,0.5519891266168813,0.24730290935951313,0.3415735696163071,683,0.0,683,100.0
50,"Hierarchical (ward, n=20)",20,0,0.5367959428103313,3165080.580495241,0.44928213323792293,0.13742996754935793,0.375784665798469,0.33928640147335787,0.42108197562973526,0.37578466579846903,0.3653919419593114,0.23973728687657406,0.2895185644243439,683,0.0,683,100.0
50,"Hierarchical (complete, n=20)",20,0,0.5777531666631732,1867759.6870998186,0.31580529599353924,0.14790867663608528,0.38730816887643954,0.3179744991500988,0.4953093234954443,0.3873081688764396,0.3962710403363788,0.21630797185226544,0.27985478879760534,683,0.0,683,100.0
50,"Hierarchical (average, n=20)",20,0,0.5840077797953878,1734715.1569512698,0.31437800057672377,0.15330124784081092,0.3883707027269484,0.3153419488183054,0.5054185113918742,0.38837070272694835,0.39622024791913424,0.20886477528642738,0.2735366101350296,683,0.0,683,100.0
50,"Hierarchical (single, n=20)",20,0,0.40175363014804244,403132.42552109424,0.30358847821331586,0.14900734492688142,0.4072305628012389,0.2857390154172993,0.7084532958463928,0.407230562801239,0.5046151338662318,0.19858386700131986,0.28500730094017684,683,0.0,683,100.0
50,"Hierarchical (ward, n=25)",25,0,0.5143558990458741,4051037.7614569333,0.4272103702324577,0.11638421339091391,0.38030533602580596,0.3582941834208421,0.40519793547525407,0.380305336025806,0.28539435033379285,0.2201299667225285,0.24854926547391448,683,0.0,683,100.0
50,"Hierarchical (complete, n=25)",25,0,0.488868735590388,3009776.0002058493,0.429092951211966,0.12981965623157782,0.37776555941253287,0.3374449534841996,0.42902940358977637,0.3777655594125328,0.2737093567045911,0.18561379328132058,0.22121346139896267,683,0.0,683,100.0
