,ari_score,ari_score,ari_score,ari_score,ari_score,clustered_percentage,clustered_percentage,clustered_percentage,clustered_percentage,clustered_percentage
embedding_size,50,100,150,200,250,50,100,150,200,250
algorithm,,,,,,,,,,
"DBSCAN (eps=8.0, min_samples=5)",0.040334544312081166,0.040334544312081166,0.040334544312081166,0.040334544312081166,0.040334544312081166,22.972972972972975,22.972972972972975,22.972972972972975,22.972972972972975,22.972972972972975
"DBSCAN (eps=8.5, min_samples=2)",0.08708076701189656,0.08708076701189656,0.08708076701189656,0.08708076701189656,0.08708076701189656,38.87733887733888,38.87733887733888,38.87733887733888,38.87733887733888,38.87733887733888
"DBSCAN (eps=8.5, min_samples=3)",0.057026812275274695,0.057026812275274695,0.057026812275274695,0.057026812275274695,0.057026812275274695,30.97713097713098,30.97713097713098,30.97713097713098,30.97713097713098,30.97713097713098
"DBSCAN (eps=8.5, min_samples=4)",0.045569004875066293,0.045569004875066293,0.045569004875066293,0.045569004875066293,0.045569004875066293,27.546777546777545,27.546777546777545,27.546777546777545,27.546777546777545,27.546777546777545
"DBSCAN (eps=8.5, min_samples=5)",0.040334544312081166,0.040334544312081166,0.040334544312081166,0.040334544312081166,0.040334544312081166,22.972972972972975,22.972972972972975,22.972972972972975,22.972972972972975,22.972972972972975
"DBSCAN (eps=9.0, min_samples=2)",0.08708076701189656,0.08929888300218314,0.08603795390670156,0.08929888300218314,0.0903601317950953,38.87733887733888,39.397089397089395,38.981288981288984,39.397089397089395,39.2931392931393
"DBSCAN (eps=9.0, min_samples=3)",0.057026812275274695,0.057495832440693714,0.05609413838888277,0.057495832440693714,0.058437377554061254,30.97713097713098,31.288981288981287,31.08108108108108,31.288981288981287,31.185031185031185
"DBSCAN (eps=9.0, min_samples=4)",0.045569004875066293,0.04592445783024562,0.04469640139802971,0.04592445783024562,0.046805806613826266,27.546777546777545,27.85862785862786,27.650727650727653,27.85862785862786,27.754677754677754
"DBSCAN (eps=9.0, min_samples=5)",0.040334544312081166,0.04223127782190436,0.03954447250314022,0.04223127782190436,0.043047357638869216,22.972972972972975,23.7006237006237,23.076923076923077,23.7006237006237,23.596673596673597
"DBSCAN (eps=9.5, min_samples=2)",0.08710128326132731,0.08792263573000118,0.08710128326132731,0.08606121608772857,0.08606121608772857,39.604989604989605,39.70893970893971,39.604989604989605,39.70893970893971,39.812889812889814
"DBSCAN (eps=9.5, min_samples=3)",0.057495832440693714,0.058177304352725945,0.057495832440693714,0.056565023673540916,0.056565023673540916,31.288981288981287,31.392931392931395,31.288981288981287,31.392931392931395,31.496881496881496
"DBSCAN (eps=9.5, min_samples=4)",0.04592445783024562,0.04651932182002614,0.04592445783024562,0.04505369819260164,0.04592445783024562,27.85862785862786,27.96257796257796,27.85862785862786,27.96257796257796,27.96257796257796
"DBSCAN (eps=9.5, min_samples=5)",0.04223127782190436,0.04270420636941761,0.04223127782190436,0.04223127782190436,0.04223127782190436,23.7006237006237,23.804573804573806,23.7006237006237,23.7006237006237,23.804573804573806
Hierarchical,0.5131637026347337,0.5131637026347337,0.5131637026347337,0.5144180894626255,0.5155667044650685,100.0,100.0,100.0,100.0,100.0
K-means,0.5003766811243325,0.4755425129002383,0.5016650586984905,0.5010096764999346,0.5019702545801538,100.0,100.0,100.0,100.0,100.0
