embedding_size,algorithm,n_clusters,ari_score,nmi_score,homogeneity,completeness,v_measure,precision,recall,f1_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,noise_points,total_points,noise_percentage,clustered_points,clustered_percentage
50,K-means++,34,0.12164541502490633,0.3904687241770844,0.385894481040727,0.39515271076889286,0.39046872417708445,0.20264489498034877,0.4085372331188099,0.2709110129198408,0.5196693537261328,4909796.361394606,0.557455858455046,0,962,0.0,962,100.0
50,Hierarchical (ward),34,0.11968903956851266,0.3904117387300244,0.38034269401747756,0.4010284090249673,0.3904117387300243,0.19611968297521973,0.4121164983013749,0.26576569919298715,0.5324845218148303,4729941.298831327,0.5556397346419538,0,962,0.0,962,100.0
50,Hierarchical (complete),34,0.13518745969327908,0.38270582980251633,0.3528913181446837,0.41802308933668847,0.38270582980251633,0.17374085693229513,0.4705181274705456,0.25377441261353406,0.5171439665781191,3372546.8217593553,0.4714369083651054,0,962,0.0,962,100.0
50,Hierarchical (average),34,0.1195455392042179,0.38671459956813964,0.33043895879025664,0.4660928768907001,0.38671459956813975,0.15975056985100022,0.5836936244647581,0.25084704363711074,0.5842693487528448,1864724.9813648832,0.374074113690076,0,962,0.0,962,100.0
50,Hierarchical (single),34,0.15128607217649964,0.41087970271108987,0.2900369474248173,0.7043403395050242,0.41087970271108976,0.08684189309570949,0.8444503438383758,0.15748797976813314,0.32600585044157504,299994.76341600996,0.3599757147587848,0,962,0.0,962,100.0
50,"DBSCAN (euclidean, eps=0.1, min_samples=2)",37,0.11719315197009568,0.39348203336562704,0.3506309924708486,0.44826505161216706,0.39348203336562704,0.12287703779497126,0.5462339226563758,0.20062324584809535,,,,114,962,11.85031185031185,848,88.14968814968816
50,"DBSCAN (euclidean, eps=0.1, min_samples=3)",24,0.11257698163883799,0.37297021242227574,0.32492268944507197,0.43769358606312386,0.37297021242227574,0.12234096129540592,0.5599594128524543,0.20080883860085505,,,,140,962,14.553014553014554,822,85.44698544698545
50,"DBSCAN (euclidean, eps=0.1, min_samples=4)",19,0.10919508717150136,0.3610782577877902,0.31010024951226717,0.4321144232893072,0.3610782577877902,0.1225470272065369,0.5680281959212374,0.20160053372421752,,,,156,962,16.216216216216218,806,83.78378378378379
50,"DBSCAN (euclidean, eps=0.1, min_samples=5)",18,0.10805247935233028,0.3584359121245692,0.3078138317628719,0.428985497985064,0.3584359121245692,0.12216586346725314,0.5665576076859431,0.2009921318087296,,,,167,962,17.35966735966736,795,82.64033264033263
50,"DBSCAN (euclidean, eps=0.25, min_samples=2)",15,0.14881170804225174,0.3987272801901225,0.2923947960509506,0.6265953624526613,0.39872728019012244,0.11623766782879608,0.8090951568808026,0.2032724476556069,,,,20,962,2.079002079002079,942,97.92099792099792
50,"DBSCAN (euclidean, eps=0.25, min_samples=3)",14,0.14881170804225174,0.3987272801901225,0.2923947960509506,0.6265953624526613,0.39872728019012244,0.11623766782879608,0.8090951568808026,0.2032724476556069,,,,22,962,2.2869022869022873,940,97.71309771309772
50,"DBSCAN (euclidean, eps=0.25, min_samples=4)",13,0.14881170804225174,0.3987272801901225,0.2923947960509506,0.6265953624526613,0.39872728019012244,0.11623766782879608,0.8090951568808026,0.2032724476556069,,,,25,962,2.598752598752599,937,97.4012474012474
50,"DBSCAN (euclidean, eps=0.25, min_samples=5)",10,0.14866577814377122,0.39351201214402587,0.28724514043989186,0.6245745082142102,0.3935120121440258,0.09172786390722744,0.8139971176651163,0.16487613425532374,,,,37,962,3.8461538461538463,925,96.15384615384616
50,"DBSCAN (euclidean, eps=0.5, min_samples=2)",10,0.14719005909864394,0.3901156397696354,0.2678074268635042,0.7180510658739649,0.39011563976963537,0.08676315626355914,0.8594704544467217,0.1576151354148107,,,,3,962,0.31185031185031187,959,99.68814968814968
50,"DBSCAN (euclidean, eps=0.5, min_samples=3)",8,0.14718196911787518,0.3888457978301278,0.2667253158703454,0.7172306446909256,0.38884579783012785,0.08676315626355914,0.8594704544467217,0.1576151354148107,,,,7,962,0.7276507276507277,955,99.27234927234927
50,"DBSCAN (euclidean, eps=0.5, min_samples=4)",8,0.14718196911787518,0.3888457978301278,0.2667253158703454,0.7172306446909256,0.38884579783012785,0.08676315626355914,0.8594704544467217,0.1576151354148107,,,,7,962,0.7276507276507277,955,99.27234927234927
50,"DBSCAN (euclidean, eps=0.5, min_samples=5)",6,0.14767671177800235,0.3875999426965018,0.26586934720595695,0.7149426681954981,0.3875999426965017,0.09916294035457163,0.8624116309173099,0.17787340820509656,,,,16,962,1.6632016632016633,946,98.33679833679834
50,"DBSCAN (euclidean, eps=0.75, min_samples=2)",6,0.14761643580974285,0.38254712969572424,0.2592784845648384,0.7292578277787154,0.38254712969572424,0.08656530843730914,0.8685202282023777,0.1574387184270482,,,,1,962,0.10395010395010396,961,99.8960498960499
50,"DBSCAN (euclidean, eps=0.75, min_samples=3)",6,0.14761643580974285,0.38254712969572424,0.2592784845648384,0.7292578277787154,0.38254712969572424,0.08656530843730914,0.8685202282023777,0.1574387184270482,,,,1,962,0.10395010395010396,961,99.8960498960499
50,"DBSCAN (euclidean, eps=0.75, min_samples=4)",6,0.14761643580974285,0.38254712969572424,0.2592784845648384,0.7292578277787154,0.38254712969572424,0.08656530843730914,0.8685202282023777,0.1574387184270482,,,,1,962,0.10395010395010396,961,99.8960498960499
