0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
4.5940037,0.0,6.7271805,2.7229238,10.787712,4.5267286,0.0,12.962421,10.415434,4.3805656,8.835853,6.930407,9.776888,2.460626,3.272533,6.2358384,4.281114,7.062702,12.0285635,5.326751,4.9450507,4.771497,11.848537,3.415169,24.250359,12.148933,0.0,4.636144,0.0,8.979319,0.0,9.454016
4.991005,0.0,5.8837585,3.8143516,10.1452,6.4642696,0.0,14.16893,10.146159,4.890628,10.066553,6.4253755,9.450998,1.8262446,3.478641,6.339786,6.000654,6.39033,14.828058,5.7514877,5.641808,5.229612,12.923591,3.3045478,28.058125,12.139847,0.0,3.472843,0.0,9.523236,0.0,10.550795
6.0663815,0.0,6.2108636,3.6127524,10.994812,7.5125027,0.0,14.815527,9.8642235,6.7578053,10.228063,5.146784,9.066624,3.281767,5.0937133,7.01342,6.3144774,6.6891418,16.5136,4.597553,6.245859,6.203612,13.515425,2.9463172,31.629065,13.093261,0.0,5.318281,0.0,10.47871,0.0,12.228945
5.7446604,0.0,6.1342998,3.7643247,11.199247,7.213777,0.0,15.356763,10.349604,6.4456778,10.619655,5.6672845,9.735383,2.5802975,4.7037644,7.1970277,6.201372,6.670142,16.707474,4.8300605,5.685667,6.0960746,13.633947,3.2677405,30.979969,13.076551,0.0,5.4206114,0.0,9.776948,0.0,12.124623
5.670391,0.0,6.6054254,4.319507,13.709342,6.4303975,0.0,16.535524,13.513317,5.2342553,12.788695,8.080104,12.471296,2.5573628,4.580828,7.1554694,5.57954,7.1640778,17.999228,5.931662,5.245568,6.464858,15.447539,2.0642726,32.070015,14.918038,0.0,6.150714,0.0,9.648732,0.0,12.632549
6.239111,0.0,5.5139713,4.5379996,11.576065,5.6577168,0.0,16.285025,12.455176,6.4681005,10.761077,4.4089184,8.788045,3.018544,5.7677474,8.203575,5.1680274,7.130023,17.487112,4.5502143,3.6099367,7.513284,13.611264,2.0524178,29.689722,14.484584,0.0,7.582099,0.0,9.7084,0.0,12.848762
5.852005,0.0,4.918628,4.280434,12.108564,5.1944013,0.0,14.184399,11.9683,7.2143745,9.948649,4.4006495,9.174815,2.431014,5.335378,8.129586,3.7870157,6.23462,15.944032,5.52057,2.7868924,7.1220264,13.059769,2.3107479,28.071182,13.924248,0.0,7.2121954,0.0,8.986371,0.0,11.8228245
5.228038,0.0,5.3478246,4.5414176,14.051236,6.534203,0.0,15.035844,14.18284,7.7186813,12.200393,6.0371175,13.028963,2.1588488,5.5229383,7.0263333,4.7269855,6.3731017,16.932016,6.539947,1.715106,6.941545,15.082408,2.3066962,31.253605,15.162298,0.0,7.9941993,0.0,9.60206,0.0,11.469324
5.3530493,0.0,5.5619574,4.2600207,13.629893,5.645378,0.0,13.59094,12.236791,7.7114854,11.600372,5.209208,10.870236,1.5315818,5.9572854,6.296406,3.7587714,6.1297717,15.914499,6.6805468,2.287764,6.8985295,14.260333,1.5107348,28.981464,14.311037,0.0,7.840592,0.0,9.158812,0.0,10.705492
5.3062286,0.0,4.657393,3.6590192,14.008069,5.3468146,0.0,10.455556,12.693004,9.200799,10.1518955,6.0994725,10.974913,0.23653576,4.9445286,6.0630455,3.5105445,5.8611555,13.853691,6.9205074,2.0574453,6.740412,13.294539,1.1450112,27.421377,13.614013,0.0,6.8147964,0.0,7.7477736,0.0,10.9085045
5.384821,0.0,4.527613,3.6267033,14.73538,5.3916516,0.0,11.440198,13.909521,9.335827,10.368658,6.880069,11.649702,0.26373348,5.7054596,5.8687277,4.583305,5.808706,14.687821,7.393905,2.6365392,7.582791,13.681725,1.5640403,30.369198,15.392363,0.0,7.615849,0.0,8.841712,0.0,12.102722
5.445798,0.0,4.0094547,3.3068283,14.796511,5.3123274,0.0,10.188337,12.878838,9.914122,9.706588,6.5375915,11.463417,0.0,5.8411527,5.7636366,4.178762,6.000466,13.576614,7.762234,2.787021,7.6931014,13.005059,1.2833692,30.055403,15.063465,0.0,7.621579,0.0,8.45456,0.0,12.272828
5.4661407,0.0,3.505392,3.0824301,15.278001,5.5761647,0.0,10.371699,13.35027,10.083587,9.901804,7.03935,11.599148,0.0,6.004055,6.216662,4.4271593,6.064067,13.795449,8.165357,3.174672,8.011593,13.1601925,1.4536756,31.64315,15.920663,0.0,7.906495,0.0,8.812594,0.0,13.093408
5.8357525,0.0,2.7363873,2.8697872,15.674406,5.702976,0.0,10.424595,13.083598,10.406542,9.629588,7.0970535,11.843062,0.0,6.4975133,6.5565276,4.649371,5.88897,13.819758,8.19152,3.4230773,8.5287285,13.251965,1.8169953,32.837036,16.252964,0.0,8.3421335,0.0,9.362154,0.0,13.774359
5.491377,0.0,2.105067,2.6092348,15.725437,6.226722,0.0,10.912391,12.816107,10.163582,10.220274,7.643453,11.634388,0.18116936,7.019228,7.6878686,4.8465676,6.1349826,14.061293,8.227704,4.148866,9.078962,13.278758,2.510459,33.617016,16.60965,0.0,8.09578,0.0,10.051591,0.0,14.199688
5.792611,0.0,0.45127717,1.4278909,16.29734,4.7580094,0.0,10.535499,12.09073,9.433361,9.068963,7.1657467,11.022083,0.9618095,7.7735977,7.659646,4.8885536,5.5368767,13.543751,8.114966,4.894229,8.87157,12.437402,2.0411465,32.49687,16.180017,0.0,8.661257,0.0,9.069371,0.0,13.871703
