embedding_size,window_size,algorithm,n_clusters,noise_points,silhouette,calinski,davies,ari,nmi,homogeneity,completeness,v_measure,precision,recall,f1,total_points_in_embedding,compared_points,noise_percentage,clustered_points,clustered_percentage
50,2,K-means++ (n=10),10,0,0.7438370490282256,2120.749642957887,0.6694451135800387,0.06214887187746198,0.3282901360916287,0.24372115052667093,0.5027342838475196,0.32829013609162877,0.27814288126438697,0.3218433597095464,0.29840164081133624,683,683,0.0,683,100.0
50,2,K-means++ (n=15),15,0,0.7089324491249877,2248.0887527389395,0.6046178216163836,0.058560713850052404,0.3502473209861823,0.2720273166109245,0.49160600690948714,0.35024732098618233,0.3160500017060564,0.3057542944140097,0.31081691096107367,683,683,0.0,683,100.0
50,2,K-means++ (n=20),20,0,0.6868300898476091,2319.3797513527356,0.6105945537563284,0.06932818299295794,0.37103616116769045,0.29755178341849303,0.4927199078260511,0.37103616116769045,0.24767953992101727,0.2363593716041581,0.2418870839556205,683,683,0.0,683,100.0
50,2,K-means++ (n=25),25,0,0.654905655441457,2510.394125471726,0.5885892484930797,0.06222188811424796,0.3719119890415589,0.30743675453274555,0.4706070939607731,0.3719119890415589,0.19796044224244766,0.18527428973615667,0.19140739224216557,683,683,0.0,683,100.0
50,2,K-means++ (n=30),30,0,0.6551291186226698,2643.1798915102345,0.6073878599108622,0.06049374573287156,0.3821298874633187,0.3222065426057717,0.4694343782710799,0.3821298874633187,0.16988512205136594,0.15227828238246977,0.16060057866461522,683,683,0.0,683,100.0
50,2,K-means++ (n=35),35,0,0.6547782669579206,2828.955345294635,0.5608421374092357,0.05264696876100741,0.3836427877253345,0.3293055041315572,0.4594555740704919,0.3836427877253345,0.1978388326632001,0.15891048150031203,0.17625073355324922,683,683,0.0,683,100.0
50,2,"Hierarchical (ward, n=10)",10,0,0.7412561220470218,1989.309439475328,0.8038219044388691,0.06327076123467686,0.3362101633418143,0.25142543552847946,0.5072697296258212,0.33621016334181436,0.34328031579890506,0.3604661817732821,0.3516634047653359,683,683,0.0,683,100.0
50,2,"Hierarchical (complete, n=10)",10,0,0.7107120905787894,1700.6501944364468,0.6736400766917818,0.06552393761572566,0.3226939502434194,0.23516467528643623,0.5140109882626297,0.3226939502434194,0.3776741200977856,0.3502632064963247,0.3634525761580825,683,683,0.0,683,100.0
50,2,"Hierarchical (average, n=10)",10,0,0.7606617958050682,895.9402225126277,0.638254570060518,0.11615164399492856,0.332976799678556,0.22211079472270776,0.6648198244234563,0.33297679967855587,0.34124257925982066,0.30716824162082357,0.32331009804874333,683,683,0.0,683,100.0
50,2,"Hierarchical (single, n=10)",10,0,0.43926496103078605,60.34673862945362,0.469762688540334,0.0075464582876973415,0.10287800699986992,0.056897461697201404,0.5361859751615302,0.1028780069998699,0.4449597970967568,0.1956815190491953,0.2718226465177858,683,683,0.0,683,100.0
50,2,"Hierarchical (ward, n=15)",15,0,0.7182256586461795,2167.2147258088717,0.6063365517247674,0.0588982275697881,0.35204864748736453,0.27309435950991356,0.49522233685700956,0.3520486474873645,0.27186508274177806,0.2739365188430068,0.27289687001653085,683,683,0.0,683,100.0
50,2,"Hierarchical (complete, n=15)",15,0,0.7042270893792625,1332.2815477199488,0.6910760517219915,0.06490743536994403,0.3268265558519426,0.2401634274550162,0.5113461427656033,0.3268265558519426,0.2569743189345351,0.20927819636442607,0.23068667820103064,683,683,0.0,683,100.0
50,2,"Hierarchical (average, n=15)",15,0,0.7024301369380211,922.7073395235243,0.4957872284427309,0.08963915405146436,0.3374319081753873,0.23472122411015628,0.5999705062474473,0.33743190817538726,0.2803718503718503,0.2170540125646051,0.24468303587643297,683,683,0.0,683,100.0
50,2,"Hierarchical (single, n=15)",15,0,0.29461929647700896,39.27887884635114,0.39161223342769347,0.007852524594366951,0.1123058205895098,0.06262011880778894,0.5437124699124667,0.1123058205895098,0.33187789222271985,0.12957715305034073,0.1863834532749376,683,683,0.0,683,100.0
50,2,"Hierarchical (ward, n=20)",20,0,0.6913715287829261,2363.7753429848112,0.6652247165633941,0.06662395791749012,0.3721550128968838,0.3001912347518001,0.48950145833286196,0.3721550128968838,0.22295158851072033,0.21249603992590585,0.21759828994275104,683,683,0.0,683,100.0
50,2,"Hierarchical (complete, n=20)",20,0,0.724675114715519,1671.809315388799,0.4808701269533585,0.06309307032905215,0.34266742972358966,0.2585954421545925,0.5077382619531483,0.34266742972358966,0.19761179867116613,0.17854386030590105,0.18759453718011762,683,683,0.0,683,100.0
50,2,"Hierarchical (average, n=20)",20,0,0.7175028631638094,975.8370892334093,0.4599859896533715,0.08908686400740307,0.3501144679198353,0.2516636990156954,0.5750892043606464,0.3501144679198353,0.26313375935658545,0.174315151980867,0.20970769415474388,683,683,0.0,683,100.0
50,2,"Hierarchical (single, n=20)",20,0,0.6828731129358744,537.0860883793735,0.34679491686051495,0.11577065181179945,0.35010806450953486,0.24177336835163876,0.6343498826235501,0.3501080645095348,0.3021975672704911,0.162692197188225,0.21151330901602877,683,683,0.0,683,100.0
50,2,"Hierarchical (ward, n=25)",25,0,0.6940906817084164,2475.3334258925875,0.5372497552785813,0.06659622077920875,0.3765221866180315,0.30521104309638697,0.49131585578086023,0.3765221866180315,0.18205357850088394,0.1699968319407247,0.17581875021705418,683,683,0.0,683,100.0
50,2,"Hierarchical (complete, n=25)",25,0,0.7255140172247162,1708.2092625008622,0.4708767371578086,0.06386908073954403,0.3530084160229038,0.27137124195991624,0.5048978991505029,0.3530084160229037,0.23766009723494286,0.17381668135461584,0.20078551957848592,683,683,0.0,683,100.0
