embedding_size,window_size,algorithm,n_clusters,silhouette,calinski,davies,ari,nmi,homogeneity,completeness,v_measure,precision,recall,f1,fmi,vi,micro_precision,micro_recall,micro_f1,noise_points,noise_percentage,clustered_points,clustered_percentage,total_points_in_embedding,compared_points
150,7,"DBSCAN (euclidean, eps=0.1, min_samples=3)",25,0.5684156697682313,745223.7703167853,0.19266000832057312,0.07398462957171408,0.35209655702463166,0.29589764010715175,0.4346478734932653,0.35209655702463166,0.2820476419666703,0.16363168883109283,0.2071082448594689,0.19572543435084241,3.299378004661469,0.25036603221083453,0.25036603221083453,0.25036603221083453,247.0,36.16398243045388,436.0,63.836017569546115,683,683
150,7,"DBSCAN (euclidean, eps=0.1, min_samples=4)",16,0.6446020554052628,976058.1679553088,0.1551643676400779,0.07667136384841149,0.3307710967004416,0.26583737352599507,0.4376790537717602,0.3307710967004416,0.3466802478567184,0.23961999302093911,0.28337535201271974,0.2097866640525779,3.2591566680260455,0.2562225475841874,0.2562225475841874,0.2562225475841874,275.0,40.26354319180088,408.0,59.73645680819912,683,683
150,7,"DBSCAN (euclidean, eps=0.1, min_samples=5)",13,0.6383048979895067,1091681.4204464874,0.18863194958640533,0.07786304687148783,0.3251166691054787,0.25621604457057395,0.444705016630791,0.32511666910547865,0.38471020870595574,0.268701649241144,0.3164076877452813,0.21655817496968427,3.2228333632966732,0.2562225475841874,0.2562225475841874,0.2562225475841874,289.0,42.313323572474374,394.0,57.68667642752562,683,683
150,7,"DBSCAN (euclidean, eps=0.25, min_samples=2)",40,0.7595164499276089,180345.03953959487,0.12753180990765753,0.07756341537184071,0.4091350065952957,0.34345411260237335,0.5058770652124073,0.4091350065952958,0.2470040145040145,0.13740883839642526,0.17658376641761647,0.22000776907896963,3.0056084632330506,0.24597364568081992,0.24597364568081992,0.24597364568081992,165.0,24.15812591508053,518.0,75.84187408491947,683,683
150,7,"DBSCAN (euclidean, eps=0.25, min_samples=3)",24,0.9334858372278788,231802.13321450408,0.12822870186780078,0.08000346413099661,0.39059753450835866,0.3112699840485971,0.5241873444829217,0.39059753450835866,0.25533298230252544,0.15418885168974542,0.192270575446229,0.23104433234651084,2.942754392223261,0.25036603221083453,0.25036603221083453,0.25036603221083453,197.0,28.84333821376281,486.0,71.15666178623718,683,683
150,7,"DBSCAN (euclidean, eps=0.25, min_samples=4)",16,0.9343073787708484,293893.3874949123,0.15416600781552603,0.08804093576732515,0.3814016813977272,0.29234528934953163,0.5484853643597561,0.3814016813977271,0.32044889942813826,0.22248430905683078,0.2626284443946109,0.24755964843971,2.8731896684869245,0.26061493411420206,0.26061493411420206,0.26061493411420206,221.0,32.357247437774525,462.0,67.64275256222547,683,683
150,7,"DBSCAN (euclidean, eps=0.25, min_samples=5)",12,0.9440271911050255,350102.288222603,0.09747006722262035,0.08901198106014761,0.3701103833531564,0.2764687555524362,0.559676008484041,0.37011038335315644,0.3222940399425307,0.2648466776520401,0.29075995974366897,0.25380743138484996,2.8511581096806147,0.25768667642752563,0.25768667642752563,0.25768667642752563,237.0,34.69985358711566,446.0,65.30014641288433,683,683
150,7,"DBSCAN (euclidean, eps=0.5, min_samples=2)",38,0.7505785816702637,150674.62239094096,0.10997037105818785,0.07846587869368278,0.41085529606330917,0.34727205160980634,0.5029403979976144,0.41085529606330917,0.19988346264662052,0.14463373246342462,0.16782843742275266,0.2176362916763536,3.017484063401792,0.24597364568081992,0.24597364568081992,0.24597364568081992,148.0,21.669106881405565,535.0,78.33089311859443,683,683
150,7,"DBSCAN (euclidean, eps=0.5, min_samples=3)",22,0.9305267539192948,202088.0223855835,0.09933277678450546,0.08384130116740944,0.396473777657184,0.3185467571215088,0.5248756313527013,0.396473777657184,0.21631881340119324,0.17816451755336085,0.19539653010980618,0.23139646573394496,2.938305361434101,0.25329428989751096,0.25329428989751096,0.25329428989751096,180.0,26.35431918008785,503.0,73.64568081991216,683,683
150,7,"DBSCAN (euclidean, eps=0.5, min_samples=4)",14,0.94861699232168,274274.3953566592,0.056469114662016304,0.09016136318062136,0.3812235881525018,0.29451572610973636,0.5402891867398698,0.38122358815250174,0.27060483637505456,0.25636475360308525,0.2632923930353244,0.24568385646493943,2.896706797566945,0.26061493411420206,0.26061493411420206,0.26061493411420206,205.0,30.01464128843338,478.0,69.98535871156662,683,683
150,7,"DBSCAN (euclidean, eps=0.5, min_samples=5)",12,0.9306518515745166,310809.40298006614,0.1525890645857851,0.09341535220300619,0.38016426093535605,0.2891222807522974,0.5548959581860151,0.380164260935356,0.274839022295598,0.27035189368357193,0.27257699260196505,0.2530730624865629,2.8564652956038845,0.26061493411420206,0.26061493411420206,0.26061493411420206,217.0,31.77159590043924,466.0,68.22840409956076,683,683
150,7,"DBSCAN (euclidean, eps=0.75, min_samples=2)",36,0.9474581780662241,99573.31517292498,0.08041694412094025,0.0757510081893333,0.4038028577974903,0.3408799222491416,0.4952143437868008,0.40380285779749026,0.1702772299753745,0.14120618210604968,0.15438509154465727,0.21383960276619957,3.0497482288262026,0.24743777452415813,0.24743777452415813,0.24743777452415813,138.0,20.20497803806735,545.0,79.79502196193266,683,683
150,7,"DBSCAN (euclidean, eps=0.75, min_samples=3)",22,0.9467379655637866,129799.38620201805,0.09196160994714861,0.08215538021670396,0.39376067893715205,0.3182054935031918,0.5163678223214925,0.39376067893715216,0.19980360672989955,0.18094017650750951,0.18990461018769936,0.22728589869138519,2.968667057708248,0.2562225475841874,0.2562225475841874,0.2562225475841874,166.0,24.30453879941435,517.0,75.69546120058565,683,683
150,7,"DBSCAN (euclidean, eps=0.75, min_samples=4)",14,0.9477549588263343,174523.0313165372,0.060193626582289696,0.08943088832824951,0.3841866418154295,0.2991455539525158,0.5367834117899085,0.38418664181542944,0.26209018331713607,0.27173187511055763,0.2668239569215242,0.2418815455354652,2.9055707936760364,0.26500732064421667,0.26500732064421667,0.26500732064421667,190.0,27.81844802342606,493.0,72.18155197657394,683,683
150,7,"DBSCAN (euclidean, eps=0.75, min_samples=5)",10,0.9473565523258497,219407.10047587665,0.04736615114554264,0.0969766058931856,0.3822813776562728,0.29006427169298127,0.5604637750694664,0.3822813776562728,0.3126577066961247,0.34861364149844787,0.32965814100815527,0.2556470583556158,2.8401668496240275,0.27232796486090777,0.27232796486090777,0.27232796486090777,207.0,30.307467057101018,476.0,69.69253294289898,683,683
