embedding_size,window_size,algorithm,n_clusters,noise_points,silhouette,calinski,davies,ari,nmi,homogeneity,completeness,v_measure,precision,recall,f1,fmi,vi,micro_precision,micro_recall,micro_f1,total_points_in_embedding,compared_points,noise_percentage,clustered_points,clustered_percentage
50,2,K-means++ (n=30),30,0,0.5218540292848556,5259035.7572494615,0.47026149001859363,0.11964295174204854,0.3821328789700783,0.37719260853511516,0.38720427697348136,0.3821328789700783,0.26438360830626756,0.1963075191632918,0.22531577952940818,0.1738425313293483,3.6956081545543547,0.2445095168374817,0.2445095168374817,0.2445095168374817,683,683,0.0,683,100.0
50,2,"Hierarchical (ward, n=30)",30,0,0.5124909375952175,5145086.598224133,0.4984945152482832,0.12393664578081122,0.38471301841542027,0.38263292633277735,0.3868158499585684,0.38471301841542027,0.2759317734548215,0.19605546259544573,0.22923472228687666,0.17658982418290492,3.708217905174484,0.24890190336749635,0.24890190336749635,0.24890190336749635,683,683,0.0,683,100.0
50,2,"Hierarchical (complete, n=30)",30,0,0.4977997382411527,3995674.519686438,0.44612793614147583,0.1436126687594307,0.3898339279865228,0.3657105894412295,0.41736450998744545,0.38983392798652267,0.2874104005108906,0.1857993941466005,0.2256955747292029,0.21161239400483,3.4685504930679607,0.2635431918008785,0.2635431918008785,0.2635431918008785,683,683,0.0,683,100.0
50,2,"Hierarchical (average, n=30)",30,0,0.517426302733659,3095452.909530475,0.355338047350962,0.13859131306504324,0.38276217211626923,0.3479230665653116,0.4253548736780754,0.38276217211626923,0.2786375926537731,0.17088800603943602,0.21184921505984622,0.2163171777508681,3.399764307884968,0.25329428989751096,0.25329428989751096,0.25329428989751096,683,683,0.0,683,100.0
50,2,"Hierarchical (single, n=30)",30,0,0.2649635304548035,255579.72536233708,0.3548959469036491,0.151244748168195,0.41827835834131843,0.30024354281038057,0.6892390834644517,0.41827835834131843,0.46117396754771617,0.14890480664595052,0.2251218149938101,0.3501803334481306,2.5302624247224053,0.2884333821376281,0.2884333821376281,0.2884333821376281,683,683,0.0,683,100.0
50,2,"DBSCAN (euclidean, eps=0.025, min_samples=2)",58,417,0.9329482979911576,30658196.35562358,0.1345998202897128,-0.005695280033919349,0.32566474326819733,0.27599571224161645,0.3971342321981529,0.3256647432681973,0.4707851993463504,0.15891719180724287,0.23762292433882912,0.14824494192086538,3.462976319070518,0.191800878477306,0.191800878477306,0.191800878477306,683,683,61.05417276720352,266,38.94582723279649
50,2,"DBSCAN (euclidean, eps=0.025, min_samples=3)",31,471,0.9446948537012042,53436500.40667001,0.1242422159624957,-0.01001141146871283,0.2671422612629238,0.20408401726695033,0.3865922135775645,0.2671422612629238,0.34824628780042793,0.14157592196597305,0.20131095848057273,0.1615526005895861,3.3925646992315883,0.18594436310395315,0.18594436310395315,0.18594436310395315,683,683,68.96046852122987,212,31.039531478770133
50,2,"DBSCAN (euclidean, eps=0.025, min_samples=4)",19,507,0.9428002619894239,73278064.02747904,0.14119019161899032,-0.01183282615630361,0.223656642783897,0.15900838053293376,0.3768888934436132,0.22365664278389702,0.306854939931863,0.16054329612837276,0.21079884214020142,0.17138971833128291,3.3445224692842292,0.1800878477306003,0.1800878477306003,0.1800878477306003,683,683,74.23133235724744,176,25.76866764275256
50,2,"DBSCAN (euclidean, eps=0.025, min_samples=5)",14,527,0.9521292512635262,92875616.69646639,0.11906451438013922,-0.011430030298727772,0.20233526184647346,0.13811856574819784,0.3781535744481721,0.20233526184647346,0.32613469389560473,0.18569515507174847,0.2366475213565922,0.17883993014886926,3.2994605638760044,0.1800878477306003,0.1800878477306003,0.1800878477306003,683,683,77.15959004392387,156,22.840409956076137
50,2,"DBSCAN (euclidean, eps=0.05, min_samples=2)",61,313,0.7140130856587092,1752572.2989495466,0.4432838292337833,-0.00468237242593461,0.3539910388412401,0.33572931203030065,0.37435370875090224,0.3539910388412401,0.3888564775622659,0.17271690759999273,0.2391925617535275,0.11321335293424623,3.7125951980852956,0.19619326500732065,0.19619326500732065,0.19619326500732068,683,683,45.827232796486086,370,54.17276720351391
