embedding_size,window_size,algorithm,n_clusters,noise_points,silhouette,calinski,davies,ari,nmi,homogeneity,completeness,v_measure,precision,recall,f1,total_points_in_embedding,compared_points,noise_percentage,clustered_points,clustered_percentage
50,2,K-means++ (n=10),10,0,0.7470923843751532,2221.4022909737737,0.7428841184625808,0.06298600783997917,0.3321929400060337,0.2489891256199624,0.49891289556127033,0.3321929400060338,0.36408601492810877,0.39569284512978653,0.3792320073445882,683,683,0.0,683,100.0
50,2,K-means++ (n=15),15,0,0.6913507441960105,2245.9811930773285,0.7056385731463828,0.0688299471054916,0.3590349714575052,0.28375689328739867,0.48867626202208425,0.3590349714575051,0.24068973813343267,0.273082336742052,0.25586488380179057,683,683,0.0,683,100.0
50,2,K-means++ (n=20),20,0,0.6994436489410449,2343.735310612127,0.6467586352627563,0.06555953188125761,0.36171139742377906,0.29104705671967557,0.4776918966490688,0.36171139742377906,0.2133157956671424,0.21808106971736563,0.21567211372867798,683,683,0.0,683,100.0
50,2,K-means++ (n=25),25,0,0.6904800982340414,2472.306634696428,0.6950569175949015,0.06804037334206627,0.37741033520551565,0.31113646175714776,0.47955923825466135,0.37741033520551565,0.19656272526964214,0.17246458623211353,0.1837268301054956,683,683,0.0,683,100.0
50,2,K-means++ (n=30),30,0,0.5727162894099689,2729.2321352095637,0.6148568628796852,0.07962677296974915,0.3827849023769596,0.33295273822759214,0.45015902434337646,0.3827849023769596,0.15956422713432428,0.16091500784392213,0.16023677080152807,683,683,0.0,683,100.0
50,2,K-means++ (n=35),35,0,0.5627403717357354,2889.7418223312325,0.5807885825559146,0.06899637170021293,0.3869031841562795,0.34572500461973155,0.4392168760691658,0.38690318415627944,0.19671388804823453,0.17195514589800523,0.18350315434645714,683,683,0.0,683,100.0
50,2,"Hierarchical (ward, n=10)",10,0,0.7432245631338222,2126.909948572413,0.7625869984650262,0.06287514584389492,0.3309915312003302,0.24787441504094412,0.49797085007304515,0.33099153120033015,0.3677256879385815,0.3970086346034708,0.38180651495236195,683,683,0.0,683,100.0
50,2,"Hierarchical (complete, n=10)",10,0,0.7159717294255858,1676.1066012011104,0.6501621934332498,0.06486940379541084,0.3223987994497758,0.2346571869961248,0.5149433312663563,0.3223987994497758,0.41394102789282006,0.3502632064963247,0.37944911898065564,683,683,0.0,683,100.0
50,2,"Hierarchical (average, n=10)",10,0,0.757881315421439,816.141951401147,0.5409460036467137,0.11615987538035244,0.3324591760020011,0.22164626511977342,0.6648570294796545,0.3324591760020011,0.35076638878363015,0.3108719453245273,0.3296164203744619,683,683,0.0,683,100.0
50,2,"Hierarchical (single, n=10)",10,0,0.4511829687807068,67.0278619133632,0.4621081509581568,0.0075464582876973415,0.10287800699986993,0.05689746169720142,0.5361859751615303,0.10287800699986993,0.4449597970967568,0.1956815190491953,0.2718226465177858,683,683,0.0,683,100.0
50,2,"Hierarchical (ward, n=15)",15,0,0.714396665813024,2215.774014767178,0.6444816550569381,0.05875662639732129,0.3418069712342059,0.26479854143067555,0.48197419262075425,0.3418069712342059,0.28206019880261024,0.282889349031686,0.2824741654644951,683,683,0.0,683,100.0
50,2,"Hierarchical (complete, n=15)",15,0,0.711257357914003,1331.4761384687479,0.6557141989312844,0.06424768857882056,0.3262986481667296,0.23944518564604292,0.5120241044932038,0.3262986481667296,0.259168130480431,0.20927819636442607,0.23156650311423105,683,683,0.0,683,100.0
50,2,"Hierarchical (average, n=15)",15,0,0.7094703076238316,867.6580103365369,0.47929774226542393,0.08951360626648307,0.33459917140859236,0.23270783148446517,0.5952143087332251,0.3345991714085923,0.2895946199394475,0.214584876762136,0.246509928456949,683,683,0.0,683,100.0
50,2,"Hierarchical (single, n=15)",15,0,0.7032334137227227,454.7591856663732,0.2837376068558213,0.11184927358425818,0.3245248676629767,0.21469300285051995,0.6644331698263812,0.3245248676629767,0.3531419475447462,0.19309916562895707,0.24967514811647187,683,683,0.0,683,100.0
50,2,"Hierarchical (ward, n=20)",20,0,0.6948181270530506,2379.6637796514083,0.6630990832710688,0.06650831744659833,0.3622415024334826,0.29175064587259547,0.47764753200565124,0.3622415024334826,0.2146580759322842,0.21921066256741528,0.21691048409377459,683,683,0.0,683,100.0
50,2,"Hierarchical (complete, n=20)",20,0,0.7375249198302779,1660.1711494736348,0.4964657610820112,0.06306963656973494,0.3404710480620729,0.25806053295708176,0.5002113930517258,0.34047104806207296,0.20886738488292256,0.1842256784877192,0.1957741780741165,683,683,0.0,683,100.0
50,2,"Hierarchical (average, n=20)",20,0,0.7114582851522488,854.5275393207168,0.3485314209569617,0.08873625651987684,0.3413993008637125,0.24429968454303114,0.5666012421830722,0.34139930086371245,0.24278893177037855,0.161815151980867,0.19419936412629057,683,683,0.0,683,100.0
50,2,"Hierarchical (single, n=20)",20,0,0.6335482584330334,397.7508329891806,0.3274000678092903,0.11335275973391233,0.3344916714937136,0.22915741060578942,0.6190380836164633,0.33449167149371356,0.28328527062999115,0.153317197188225,0.19895674852567075,683,683,0.0,683,100.0
50,2,"Hierarchical (ward, n=25)",25,0,0.6929832107040991,2497.4751255161777,0.545883744576075,0.0668513450882909,0.37303810973724016,0.30295883515476857,0.48529459140423664,0.37303810973724016,0.19869463050710057,0.18536853005393222,0.19180038789925738,683,683,0.0,683,100.0
50,2,"Hierarchical (complete, n=25)",25,0,0.6940729727487642,1659.2829724420728,0.46166496375756955,0.06628456626394442,0.35188570077872977,0.2712111905655987,0.500876469951437,0.3518857007787297,0.19020848141525104,0.15697048988012244,0.1719984271841409,683,683,0.0,683,100.0
