embedding_size,window_size,algorithm,n_clusters,noise_points,silhouette,calinski,davies,ari,nmi,homogeneity,completeness,v_measure,precision,recall,f1,total_points_in_embedding,compared_points,noise_percentage,clustered_points,clustered_percentage
50,2,K-means++ (n=10),10,0,0.6115610211862982,1519863.5547439859,0.39164873165089553,0.14109394618708115,0.368003559059661,0.28873110774002836,0.5072794654345092,0.36800355905966103,0.5188200360768734,0.4093377034074167,0.4576217877953816,683,683,0.0,683,100.0
50,2,K-means++ (n=15),15,0,0.5914723267428645,2186409.727393282,0.4393098210827274,0.12125422084592877,0.36167055074504384,0.3089949660593684,0.43599660296155707,0.36167055074504384,0.4014856220773055,0.2679669059079772,0.32141146807936216,683,683,0.0,683,100.0
50,2,K-means++ (n=20),20,0,0.5580683628015214,3490795.1030692593,0.3595346637219403,0.1340937909872669,0.3690333368510198,0.33053565738241847,0.4176808696712598,0.3690333368510198,0.34868412983270397,0.22171517588232686,0.2710682232557173,683,683,0.0,683,100.0
50,2,K-means++ (n=25),25,0,0.5430068288190102,4574978.803667351,0.40468559019484657,0.11488676001906899,0.37229571353711044,0.35396816225683686,0.3926248053041192,0.37229571353711044,0.27988038184066166,0.21174818048160915,0.24109324050383163,683,683,0.0,683,100.0
50,2,K-means++ (n=30),30,0,0.5218540292848556,5259035.7572494615,0.47026149001859363,0.11964295174204854,0.3821328789700783,0.37719260853511516,0.38720427697348136,0.3821328789700783,0.26438360830626756,0.1963075191632918,0.22531577952940818,683,683,0.0,683,100.0
50,2,K-means++ (n=35),35,0,0.5019178220113323,5671184.898545575,0.5205042634399901,0.1257781457549561,0.3935008539285802,0.39832995332781573,0.3887874418782952,0.3935008539285802,0.2845073693889937,0.21364835735844248,0.24403827503180645,683,683,0.0,683,100.0
50,2,"Hierarchical (ward, n=10)",10,0,0.6195178029253388,1498313.1783203697,0.38728041501556054,0.1527451924355479,0.36856842661904654,0.2869103727954773,0.5152005356703724,0.3685684266190465,0.5068563647969689,0.39456610459907504,0.44371723190610196,683,683,0.0,683,100.0
50,2,"Hierarchical (complete, n=10)",10,0,0.8128381016711749,706538.2205857019,0.2205299729700346,0.1508487838230523,0.39348839033654975,0.27033775091987444,0.7227179429657631,0.39348839033654975,0.568765861555964,0.38721423579914144,0.46075067679829607,683,683,0.0,683,100.0
50,2,"Hierarchical (average, n=10)",10,0,0.8128381016711749,706538.2205857019,0.2205299729700346,0.1508487838230523,0.3934883903365497,0.2703377509198744,0.7227179429657631,0.39348839033654964,0.568765861555964,0.38721423579914144,0.46075067679829607,683,683,0.0,683,100.0
50,2,"Hierarchical (single, n=10)",10,0,0.8135277680114441,690001.8038013426,0.1532826004479929,0.15080708942958443,0.39287393278642607,0.2696486365390308,0.7235043272239727,0.39287393278642607,0.7170991948892972,0.38991693850184417,0.5051581711222954,683,683,0.0,683,100.0
50,2,"Hierarchical (ward, n=15)",15,0,0.6117065982404656,2115921.1398629392,0.4049020090884469,0.12021025052673706,0.3710362146411549,0.3131589240189666,0.45515731078270666,0.3710362146411549,0.3712726952233967,0.26755191687983404,0.3109921546858317,683,683,0.0,683,100.0
50,2,"Hierarchical (complete, n=15)",15,0,0.5304020722050085,781656.115250348,0.28468610605343175,0.12759716767261592,0.390553124698606,0.29512939087556517,0.5771679555703965,0.39055312469860604,0.47108690591912067,0.25747492065764166,0.3329657396251185,683,683,0.0,683,100.0
50,2,"Hierarchical (average, n=15)",15,0,0.5653497530631468,701250.0967430405,0.239686386379199,0.153541205014046,0.40421203722109017,0.29267329676418463,0.653117063563369,0.4042120372210902,0.4849476697798845,0.25660555296867776,0.33562058972247993,683,683,0.0,683,100.0
50,2,"Hierarchical (single, n=15)",15,0,0.8111854484630653,506074.14320095844,0.18461744512785058,0.14866188485951753,0.39827951299355224,0.2776268677599272,0.7044028752352751,0.39827951299355224,0.47732538918545747,0.23948143064329758,0.3189438602490164,683,683,0.0,683,100.0
50,2,"Hierarchical (ward, n=20)",20,0,0.5538154057604615,3359528.176305146,0.3456435351717594,0.13188711999350136,0.3723442937236564,0.3318395672959021,0.4241118877033883,0.37234429372365635,0.35411647562154513,0.22327501867244223,0.273870895182819,683,683,0.0,683,100.0
50,2,"Hierarchical (complete, n=20)",20,0,0.5668118416283371,2335740.5969600757,0.3187140939343236,0.16198094256453496,0.3823192387649412,0.3244308188738493,0.4653523948801875,0.3823192387649412,0.41466426571499043,0.2366268467089339,0.3013113361054037,683,683,0.0,683,100.0
50,2,"Hierarchical (average, n=20)",20,0,0.588601155093129,1865881.9681397798,0.2913401768107721,0.1508810604513837,0.3870576187105485,0.3188144039551873,0.4924729949982747,0.38705761871054856,0.4068432223877009,0.21524342491916534,0.2815373998814709,683,683,0.0,683,100.0
50,2,"Hierarchical (single, n=20)",20,0,0.6857139546515685,387732.89838606457,0.20228176567566317,0.1497371906314533,0.4049418857200766,0.2845514228734228,0.701913474092167,0.40494188572007656,0.554082653098672,0.19601552365162975,0.2895855629564475,683,683,0.0,683,100.0
50,2,"Hierarchical (ward, n=25)",25,0,0.5137770128894412,4405626.878212006,0.41502192006376093,0.1372853391312354,0.37327916264484196,0.352502524688303,0.3966583631510207,0.37327916264484196,0.3233697245663696,0.22349471285232034,0.2643120261329493,683,683,0.0,683,100.0
50,2,"Hierarchical (complete, n=25)",25,0,0.5135929619171332,3555298.326310167,0.41698839749659455,0.13812792232763232,0.38549100897921484,0.3518253192843567,0.4262812899623694,0.3854910089792148,0.332472476033644,0.2041558565725042,0.25297286411169373,683,683,0.0,683,100.0
