presence,0,1,2,3,4,6,7,10,11,12,13,14,15,16,19,20,21,22,23,24,25,26,27,32,33
Additive,0.0,0.0,0.0,56.00000000000001,0.0,0.0,4.0,0.0,4.0,0.0,0.0,4.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
Animal Product,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bakery,0.0,0.0,0.0,14.285714285714285,28.57142857142857,3.571428571428571,0.0,3.571428571428571,7.142857142857142,0.0,0.0,3.571428571428571,0.0,21.428571428571427,0.0,0.0,0.0,0.0,0.0,17.857142857142858,0.0,0.0,0.0,0.0,0.0
Berry,75.75757575757575,0.0,0.0,0.0,0.0,0.0,0.0,21.21212121212121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0303030303030303,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beverage,8.333333333333332,0.0,0.0,33.33333333333333,8.333333333333332,0.0,0.0,0.0,8.333333333333332,0.0,0.0,0.0,0.0,16.666666666666664,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0
Beverage Alcoholic,0.0,13.333333333333334,0.0,46.666666666666664,0.0,13.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.666666666666667,0.0,0.0,0.0,0.0,0.0,13.333333333333334,0.0,0.0,0.0,0.0,6.666666666666667
Beverage Caffeinated,0.0,0.0,0.0,16.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.666666666666664,16.666666666666664,0.0,16.666666666666664,0.0,0.0
Cabbage,50.0,0.0,0.0,6.25,0.0,0.0,0.0,43.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cereal,19.047619047619047,0.0,0.0,4.761904761904762,0.0,0.0,0.0,33.33333333333333,9.523809523809524,0.0,0.0,0.0,23.809523809523807,0.0,0.0,0.0,4.761904761904762,0.0,0.0,0.0,0.0,0.0,0.0,4.761904761904762,0.0
Dairy,0.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.75,6.25,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0
Dish,0.0,0.0,0.0,25.333333333333336,1.3333333333333335,2.666666666666667,0.0,0.0,1.3333333333333335,0.0,0.0,0.0,0.0,46.666666666666664,0.0,0.0,0.0,0.0,0.0,21.333333333333336,0.0,0.0,1.3333333333333335,0.0,0.0
Essential Oil,75.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fish,0.0,0.0,0.0,33.0188679245283,0.0,5.660377358490567,3.7735849056603774,0.0,0.0,0.0,0.0,0.9433962264150944,0.0,35.84905660377358,0.0,0.0,0.0,0.0,0.0,20.754716981132077,0.0,0.0,0.0,0.0,0.0
Flower,40.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fruit,44.44444444444444,0.0,0.0,0.0,0.0,0.0,0.0,53.70370370370371,0.0,0.0,0.0,0.0,1.8518518518518516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fruit Citrus,16.666666666666664,0.0,0.0,0.0,0.0,0.0,16.666666666666664,66.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fruit Essence,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
